	Barcodes
A?0383.00 , CV. Plainsman Amaranth	A?0383.00
Cq0187.00 , CHEN 144	Cq0187.00
Cq0188.00 , CHEN 145	Cq0188.00
Cq0189.00 , CHEN 146	Cq0189.00
Cq0190.00 , CHEN 147	Cq0190.00
Cq0191.00 , CHEN 148	Cq0191.00
Cq0192.00 , CHEN 149	Cq0192.00
Cq0193.00 , CHEN 150	Cq0193.00
Cq0194.00 , CHEN 151	Cq0194.00
Cq0195.00 , CHEN 152	Cq0195.00
Cq0196.00 , CHEN 153	Cq0196.00
Cq0197.00 , CHEN 154	Cq0197.00
Cq0198.00 , CHEN 155	Cq0198.00
Cq0199.00 , CHEN 156	Cq0199.00
Cq0200.00 , CHEN 157	Cq0200.00
Cq0201.00 , CHEN 158	Cq0201.00
Cq0202.00 , CHEN 159	Cq0202.00
Cq0203.00 , CHEN 160	Cq0203.00
Cq0204.00 , CHEN 161	Cq0204.00
Cq0205.00 , CHEN 162	Cq0205.00
Cq0206.00 , CHEN 167	Cq0206.00
Cq0207.00 , CHEN 168	Cq0207.00
Cq0208.00 , CHEN 169	Cq0208.00
Cq0209.00 , CHEN 171	Cq0209.00
Cq0210.00 , CHEN 172	Cq0210.00
Cq0211.00 , CHEN 174	Cq0211.00
Cq0212.00 , CHEN 175	Cq0212.00
Cq0213.00 , CHEN 176	Cq0213.00
Cq0214.00 , CHEN 177	Cq0214.00
Cq0215.00 , CHEN 178	Cq0215.00
Cq0216.00 , CHEN 179	Cq0216.00
Cq0217.00 , CHEN 182	Cq0217.00
Cq0218.00 , CHEN 183	Cq0218.00
Cq0219.00 , CHEN 184	Cq0219.00
Cq0220.00 , CHEN 185	Cq0220.00
Cq0221.00 , CHEN 186	Cq0221.00
Cq0222.00 , CHEN 187	Cq0222.00
Cq0223.00 , CHEN 188	Cq0223.00
Cq0224.00 , CHEN 189	Cq0224.00
Cq0225.00 , CHEN 190	Cq0225.00
Cq0226.00 , CHEN 191	Cq0226.00
Cq0227.00 , CHEN 192	Cq0227.00
Cq0228.00 , CHEN 193	Cq0228.00
Cq0229.00 , CHEN 194	Cq0229.00
Cq0230.00 , CHEN 195	Cq0230.00
Cq0231.00 , CHEN 196	Cq0231.00
Cq0232.00 , CHEN 197	Cq0232.00
Cq0233.00 , CHEN 199	Cq0233.00
Cq0234.00 , CHEN 200	Cq0234.00
Cq0235.00 , CHEN 201	Cq0235.00
Cq0236.00 , CHEN 203	Cq0236.00
Cq0237.00 , CHEN 204	Cq0237.00
Cq0238.00 , CHEN 205	Cq0238.00
Cq0239.00 , CHEN 206	Cq0239.00
Cq0240.00 , CHEN 207	Cq0240.00
Cq0241.00 , CHEN 208	Cq0241.00
Cq0242.00 , CHEN 209	Cq0242.00
Cq0243.00 , CHEN 210	Cq0243.00
Cq0244.00 , CHEN 211	Cq0244.00
Cq0245.00 , CHEN 213	Cq0245.00
Cq0246.00 , CHEN 214	Cq0246.00
Cq0247.00 , CHEN 215	Cq0247.00
Cq0248.00 , CHEN 216	Cq0248.00
Cq0249.00 , CHEN 217	Cq0249.00
Cq0250.00 , CHEN 218	Cq0250.00
Cq0251.00 , CHEN 219	Cq0251.00
Cq0252.00 , CHEN 220	Cq0252.00
Cq0253.00 , CHEN 221	Cq0253.00
Cq0254.00 , CHEN 222	Cq0254.00
Cq0255.00 , CHEN 223	Cq0255.00
Cq0256.00 , CHEN 224	Cq0256.00
Cq0257.00 , CHEN 225	Cq0257.00
Cq0258.00 , CHEN 226	Cq0258.00
Cq0259.00 , CHEN 281	Cq0259.00
Cq0260.00 , CHEN 282	Cq0260.00
Cq0261.00 , CHEN 284	Cq0261.00
Cq0262.00 , CHEN 290	Cq0262.00
Cq0263.00 , CHEN 291	Cq0263.00
Cq0264.00 , CHEN 294	Cq0264.00
Cq0265.00 , CHEN 298	Cq0265.00
Cq0266.00 , CHEN 299	Cq0266.00
Cq0267.00 , CHEN 301	Cq0267.00
Cq0268.00 , CHEN 302	Cq0268.00
Cq0269.00 , CHEN 304	Cq0269.00
Cq0270.00 , CHEN 307	Cq0270.00
Cq0271.00 , CHEN 308	Cq0271.00
Cq0272.00 , CHEN 309	Cq0272.00
Cq0273.00 , CHEN 310	Cq0273.00
Cq0274.00 , CHEN 311	Cq0274.00
Cq0275.00 , CHEN 312	Cq0275.00
Cq0276.00 , CHEN 313	Cq0276.00
Cq0277.00 , CHEN 314	Cq0277.00
Cq0278.00 , CHEN 315	Cq0278.00
Cq0279.00 , CHEN 318	Cq0279.00
Cq0280.00 , CHEN 319	Cq0280.00
Cq0281.00 , CHEN 320	Cq0281.00
Cq0282.00 , CHEN 321	Cq0282.00
Cq0283.00 , CHEN 322	Cq0283.00
Cq0284.00 , CHEN 323	Cq0284.00
Cq0285.00 , CHEN 324	Cq0285.00
Cq0286.00 , CHEN 330	Cq0286.00
Cq0287.00 , CHEN 331	Cq0287.00
Cq0288.00 , CHEN 336	Cq0288.00
Cq0289.00 , CHEN 340	Cq0289.00
Cq0290.00 , CHEN 344	Cq0290.00
Cq0291.00 , CHEN 345	Cq0291.00
Cq0292.00 , CHEN 346	Cq0292.00
Cq0293.00 , CHEN 349	Cq0293.00
Cq0294.00 , CHEN 350	Cq0294.00
Cq0295.00 , CHEN 354	Cq0295.00
Cq0296.00 , CHEN 361	Cq0296.00
Cq0297.00 , CHEN 362	Cq0297.00
